Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,34.94,-130.2,90.0,top
R1,1k,R_0603_1608Metric,24.425,-48.25,180.0,top
R2,1k,R_0603_1608Metric,36.0,-49.5,0.0,top
R3,1k,R_0603_1608Metric,24.675,-81.5,180.0,top
R4,1k,R_0603_1608Metric,35.825,-81.5,0.0,top
R5,1k,R_0603_1608Metric,33.0,-115.75,-90.0,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,30.25,-49.0,0.0,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,30.25,-82.0,0.0,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,38.25,-115.5,0.0,top
