Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,35.6,-35.69,270.0,top
J2,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,50.25,-35.69,270.0,top
J3,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,64.9,-35.69,270.0,top
J4,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,79.55,-35.69,270.0,top
J5,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,94.2,-35.69,270.0,top
J6,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,108.85,-35.69,270.0,top
J7,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,123.5,-35.69,270.0,top
J8,EuroPower16,IDC-Header_2x08_P2.54mm_Vertical_SMD,138.15,-35.69,270.0,top
